never again will i click on a link that screams , & quot ; i 'm a spider , i 'm a spider & quot ; . i should have known better . yucky 
got the ebay blues ! item i want jumped from no bidders to over $ 100 in an hour.. still has 3 hours to go . i 'd better not get my hopes up 
it so tired that im crying for no reason at all . im about to try to get an hour and a half in for tonight . half what i got last night . 
off to london for the day on thursday , it 's gon na be raining , oh fab wo n't see much on the london eye ! still robbie wo n't care bless him 
why ca n't airfare go down ? or , why do i have to live in texas ! ! i do n't know if i 'll be able to make it to iowa . 
sooooooo busy right now . have a lot of custom orders to catch up on ! have n't blogged since the 31st . there are n't enough hrs in a day ! ; ) 
i never thought that i could hate sombody , but i really hate you ï¿½tobe d ... .ï¿½ , i only gave you all of my love and you pay me so bad ! 
still on my & quot ; lions & amp ; tigers & amp ; bears & quot ; shyt ... ... ... ... . but god is good consequently , i will be too 
yeah ? if you get spraying , i 'm going to have to pay you to spray my m3 at some point . they dont to e46 m3 's in white in europe , 
tonights episode of house was sad i ca n't believe he left the show ! i ca n't stay awake anymore i 'm mad tired . had a long day . sleep time ! 
i love uni coffee ? ? ? ? ? bet you wo n't get this one . ilpc oh ps uni tomorrow pick u up at 12:52 ! ps 1000 word assignment ! arg 
ready for friday at the ted ! ! go braves ! & amp ; stocking up on ricola cough drops & amp ; dayquil b.c i have a cold from the constant weather change 
its morning . way too early . way too little sleep . really dragging myself to the gym , and i do n't have my mp3 player . this is gon na suck . 
i am ! ! ! ! ! then we got ta meet in royal oak with some stylists for these shows ... then we got a show tonight ... man , ima be tired 
does n't understand ohio weather ... it 's april ! ... i have to run a track meet in shorts and a tank top tonight , this is gon na be great ! . 
omg i slept 2 hours , this sucks . now i 'm off to school until 5:30 then i have to memorize my french oral and study for exams : ' ( too much 
bah ! just found out we did n't win a pitch because the client felt the team did n't click . what are you sayin ? we 're not cool enough ? sad . 
having a hard time concentrating ; my cat some how got out & amp ; has been missing for a day . he is literally a scaredy cat plus it 's so cold . 
6th grade to 1st year , ok. 1st year to second year ? mmm . . . 2nd to third ? ohmieffingawd ! i 'm so old ! ah munna miss the internet . 
nite all . it 's been quite an epic event for me , setting this all up on my own and the remote dial in to my office did n't go as planned . 
in a serious mood this morning- def , need to change that asap & lt ; ; ) wondering if i should take on a new account or focus on me n eff $ 
bummed that i forgot to go to wal-mart this morning at 5am on my way to work to get the new rf cd ! ug ! guess i 'll go on my way home 
yeah , i know ... but i 've also been put on a & quot ; make this guy suffer & quot ; list my google . my web access is also painfully slow 
wicbt ( wish i could be there ) snowing here ... ..like our class song said ... & quot ; the sun will come out ... tomorrow & quot ; : :gagging : : 
getting ready to go out with jolie ... and being a girl , since i have nothing pretty to wear . i mean , i do , but i 'm just being fickle . 
aww thanks ! i do n't play harp i play violin very badly ! think i 'll stick to singing ! when i need a fanclub i 'll be onto you ; - ) 
this is a lot harder than i realized , but i know this is the only way to go in order to be happy in the long run . just right now it sucks 
i love it when class gets cancelled ! too bad it 's my 2nd of 3 classes of the day so i still have to stay for my 1st & amp ; last ones 
this day is going from bad to worse ... i broke my shoe this morning , it 's windy and freezing cold out , and i still have to take a de test . 
figures how does a canadian get past the & quot ; not available in your area & quot ; to see eminem 's posted video ? ? ? any ideas on that ? ? 
time off day 2 : just got back from my time out , i am so tired of being skint , no good news at the bank may watch another zombie film now . 
japanese & amp ; their hiragana.. & amp ; that 's saying something.. since i 'm japanese . man do i hate my own culture ! could n't they 've made it easy ? 
r.i.p . fave jeans . if you were n't discontinued & amp ; unavailable in chicago , i would buy you again and again . like i have for the past 4 yrs . 
